"Family","Rep","Chr8:9719736","ADAR","IFI44","IRF2","IRF8","MDA5","STING","Viperin"
29.017,7,"1",7e-04,3e-04,0.0034,0.0014,8e-04,0.0036,0.0018
29.017,8,"1",0.0017,9e-04,0.0061,0.0026,0.0017,0.0067,0.0038
29.024,1,"1",6e-04,0.0017,0.0078,0.0034,0.001,0.0052,0.0039
29.024,2,"0",0.001,0.0016,0.0016,0.0036,0.0016,0.0056,0.0029
29.024,3,"1",0.0013,7e-04,0.0116,0.0054,0.0027,0.0074,0.0025
29.024,4,"1",0.0014,8e-04,0.0075,0.003,0.0019,0.0067,0.0046
29.024,5,"1",0.0011,6e-04,0.0064,0.0024,0.0015,0.0037,0.0059
29.024,6,"1",0.0013,8e-04,0.0047,0.0028,0.0017,0.0099,0.0031
29.024,7,"1",8e-04,0.0012,0.0076,0.0034,0.0019,0.0073,0.0035
29.025,1,"0",7e-04,1e-04,0.0012,0.0025,0.0013,0.0045,0.0013
29.025,2,"1",7e-04,1e-04,0.006,0.004,0.0015,0.0086,0.0051
29.025,3,"1",9e-04,1e-04,0.0054,0.0037,0.0016,0.0156,0.0026
29.025,4,"1",9e-04,1e-04,0.0058,0.0024,0.0012,0.0083,0.0024
29.025,5,"0",6e-04,1e-04,5e-04,0.0025,7e-04,0.0066,0.0012
29.025,6,"0",0.0014,3e-04,0.0133,0.0082,0.003,0.0075,0.0086
29.025,7,"1",8e-04,1e-04,0.0041,0.0024,0.0012,0.0047,0.0017
29.025,8,"1",0.001,0.0024,0.0052,0.0054,0.0022,0.0051,0.0062
29.026,1,"0",0.0013,8e-04,0.0033,0.0035,0.002,0.0031,0.0015
29.026,2,"0",0.0011,5e-04,0.0013,0.0026,0.0016,0.0045,1e-04
29.026,3,"0",8e-04,5e-04,0.002,0.003,0.0018,0.0033,0.0014
29.026,4,"0",6e-04,4e-04,0.0015,0.0011,8e-04,0.0028,1e-04
29.026,5,"0",0.0011,5e-04,0.0017,0.0024,0.0018,0.0059,0.0013
29.026,6,"0",8e-04,4e-04,0.0023,0.0026,0.0013,0.005,2e-04
29.026,7,"0",0.0011,0,0.002,0.0024,0.0015,0.0043,0.0037
29.026,8,"0",0.0011,4e-04,0.0016,0.0026,0.0013,0.004,0.001
29.034,1,"0",9e-04,0.0016,0.0047,0.0042,0.0014,0.0072,0.0046
29.034,2,"0",9e-04,0.0014,0.004,0.0037,0.002,0.0098,0.003
29.034,3,"0",0.0015,0.0026,0.0157,0.0118,0.0032,0.0178,0.0116
29.034,4,"0",0.0012,0.0034,0.0037,0.0047,0.0021,0.0115,0.0036
29.034,5,"0",8e-04,0.0011,0.0064,0.0061,0.0014,0.0058,0.0052
